PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
99.25,None,17.1,None,27.88,0.56,52.69
55.64,None,17.21,None,20.45,0.98,38.29
71.49,None,17.81,None,22.31,1.09,34.55
75.06,None,17.67,None,15.82,0.98,32.5
73.29,None,18.42,None,13.92,1.23,38.51
67.1,None,16.79,None,11.69,0.76,35.15
56.17,None,17.27,None,15.21,0.86,23.03
66.49,None,18.43,None,26.92,0.95,27.76
77.11,None,16.32,None,6.89,0.95,38.19
66.07,None,17.49,None,7.45,0.91,28.64
69.68,None,14.84,None,6.62,0.89,44.37
56.74,None,15.37,None,9.81,0.51,36.02
67.76,None,15.5,None,19.12,1.13,24.39
90.77,None,14.89,None,25.57,0.69,45.28
74.87,None,12.81,None,22.91,1.69,43.37
67.88,None,12.79,None,13.77,0.53,21.74
75.51,None,11.99,None,10.5,0.62,43.04
72.68,None,13.77,None,10.41,1,43.59
57.45,None,14.22,None,10.46,0.59,37.83
54.56,None,13.59,None,17.43,1.11,42.35
65.67,None,14.18,None,9.58,0.46,25.01
111.06,None,12.77,None,10.16,0.7,33.65
21.44,None,12.46,None,11.23,0.89,36.53
33.7,None,12.11,None,12.57,0.67,35.95
22.35,None,12.76,None,10.42,0.94,16.64
12.74,None,10.48,None,6.53,0.84,17.12
10.72,None,10.44,None,7.82,0.89,23.56
11.17,None,10.63,None,9.14,0.92,23.38
28.67,None,12.83,None,50.98,0.79,22.4
42.75,None,13.5,None,25.86,0.68,27.97
32.01,None,12.02,None,10.61,0.76,31.52
32.72,None,12.76,None,10.95,0.55,39.56
31.06,None,12.94,None,10.06,0.7,44.37
25.93,None,13.12,None,12.87,0.75,38.78
22.01,None,13.36,None,13.79,0.81,42.2
37.33,None,15.37,None,14.23,0.91,51.54
36.38,None,13.06,None,11.08,0.87,52.95
44.01,None,13.57,None,10.87,1.08,37.75
43.51,None,12.34,None,9.09,1.08,30.59
26.43,None,11.17,None,5.91,0.52,15.96
18.24,None,12.01,None,8.54,0.98,16.51
39.56,None,11.62,None,7.69,0.96,19.45
45.4,None,12.41,None,6.36,0.8,43.11
197.99,None,14.95,None,18.58,0.81,58.02
392.29,None,13.21,None,14.45,0.91,42.26
55.14,None,12.88,None,11.08,1.12,22.86
33.24,None,11.58,None,7.79,0.55,19.58
71.55,None,11.03,None,6.12,0.59,18.2
20.1,None,10.43,None,5.34,0.82,13.38
1.31,None,10.56,None,6.76,0.83,11.09
9.19,None,14.96,None,6.14,0.7,12.73
20.16,None,12.52,None,8.68,1.18,14.99
20.78,None,13.49,None,10.03,1.12,29.49
23.37,None,15.8,None,16.67,0.7,41.1
30.77,None,13.65,None,9.73,0.67,26.1
171.5,None,11.79,None,5.08,1.1,19.57
504.2,None,12.24,None,6.14,0.86,13.05
51.94,None,10.51,None,6.38,0.7,12.58
196.86,None,10.85,None,7.62,0.75,13.79
423.22,None,11.14,None,5.97,1.14,12.14
459.25,None,12.47,None,8.12,0.68,13.72
50.58,None,12.42,None,7.06,0.4,16.05
55.02,None,11.45,None,7.42,0.84,16.56
51.71,None,19.42,None,6.6,0.75,22.12
37.65,None,12.57,None,7.08,0.67,19.04
17.37,None,11.39,None,6.24,0.66,22.71
18.45,None,11.57,None,6.71,0.77,18.89
15.43,None,11.57,None,7.45,0.97,29.81
13.18,None,9.44,None,5.18,0.44,13.75
14.84,None,11.35,None,7.91,0.74,11.85
27.36,None,11.13,None,7.79,0.75,24.59
34.72,None,10.28,None,8.28,1.19,19.08
39.96,None,10.33,None,7.46,0.54,27.45
45.59,None,9.68,None,6.74,0.86,28.7
48.3,None,16.17,None,7.53,0.72,22.39
48.92,None,9.53,None,9.18,0.98,29.08
35.56,None,9.48,None,6.8,0.66,21.24
31.96,None,10.1,None,5.93,0.9,15.68
39.48,None,19.24,None,6.46,0.51,16.67
25.09,None,9.05,None,6.2,0.39,21.7
15.08,None,9.78,None,4.91,1.01,17.65
13.48,None,17.36,None,4.64,0.67,17.67
12.8,None,14.17,None,4.46,0.92,16.03
15.24,None,16.15,None,4.55,0.75,11.92
17.18,None,17.65,None,4.96,1.08,13.43
19.07,None,9.82,None,5.15,1.21,17.14
21.63,None,19.82,None,4.38,0.53,24.12
18.47,None,15.1,None,5.84,1.01,23.84
15.35,None,19.94,None,4.16,0.67,29.6
43.1,None,11.76,None,4.6,1.59,29.25
13.96,None,10.18,None,4.44,0.83,22.02
15.05,None,10.22,None,4.08,0.8,25.76
12.7,None,10.12,None,4.65,0.91,13.26
12.69,None,10.09,None,4.69,0.94,10.22
14.16,None,10,None,4.48,1.2,8.75
13.09,None,10.11,None,4.56,1.22,10.42
9.36,None,9.87,None,4.1,1,12.11
71.57,None,13.41,None,5.5,1.09,10.13
9.01,None,22.02,None,4.47,0.9,11.33
75.96,None,21.98,None,4.61,1.14,10.28
25.89,None,21.54,None,5.73,1.19,11.61
21.3,None,22.29,None,4.68,1.1,11.77
19.82,None,21.67,None,4.5,1.07,25.69
18.8,None,20.75,None,5.73,1.15,11.53
17.59,None,13.79,None,4.31,1.39,16.65
8.42,None,8.39,None,5.4,1.33,12.68
7.9,None,3.8,None,3.92,1.08,16.79
6.71,None,5.12,None,3.67,0.76,16.38
4.75,None,5,None,4.76,0.93,13.53
4.75,None,5.18,None,4.73,1.33,16.63
20.87,None,5.35,None,4.79,1.08,29.55
31.23,None,4.83,None,5.66,1.44,18.77
45.56,None,4.04,None,6.09,1.04,13.1
45.77,None,4.44,None,5.27,1.29,14.34
45.42,None,4.32,None,4.71,1.14,17.91
45.97,None,4.41,None,5.46,0.87,16.23
45.75,None,4.87,None,4.96,0.98,11
45.97,None,4.55,None,4.07,1.19,14.39
46.21,None,3.67,None,5.56,1.45,14.68
45.29,None,3.86,None,5.3,1.24,21.41
46.23,None,6.54,None,6.35,1.2,23.93
46.16,None,9.49,None,5.22,1.03,21.32
45.53,None,9.64,None,4.28,1.21,19.83
