,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone
0,99.25,213.53,17.1,7.73,27.88,0.56,52.69
1,55.64,213.53,17.21,7.73,20.45,0.98,38.29
2,71.49,213.53,17.81,7.73,22.31,1.09,34.55
3,75.06,213.53,17.67,7.73,15.82,0.98,32.5
4,73.29,213.53,18.42,7.73,13.92,1.23,38.51
5,67.1,213.53,16.79,7.73,11.69,0.76,35.15
6,56.17,213.53,17.27,7.73,15.21,0.86,23.03
7,66.49,213.53,18.43,7.73,26.92,0.95,27.76
8,77.11,213.53,16.32,7.73,6.89,0.95,38.19
9,66.07,213.53,17.49,7.73,7.45,0.91,28.64
10,69.68,213.53,14.84,7.73,6.62,0.89,44.37
11,56.74,213.53,15.37,7.73,9.81,0.51,36.02
12,67.76,213.53,15.5,7.73,19.12,1.13,24.39
13,90.77,213.53,14.89,7.73,25.57,0.69,45.28
14,74.87,213.53,12.81,7.73,22.91,1.69,43.37
15,67.88,213.53,12.79,7.73,13.77,0.53,21.74
16,75.51,213.53,11.99,7.73,10.5,0.62,43.04
17,72.68,213.53,13.77,7.73,10.41,1.0,43.59
18,57.45,213.53,14.22,7.73,10.46,0.59,37.83
19,54.56,213.53,13.59,7.73,17.43,1.11,42.35
20,65.67,213.53,14.18,7.73,9.58,0.46,25.01
21,111.06,213.53,12.77,7.73,10.16,0.7,33.65
22,21.44,213.53,12.46,7.73,11.23,0.89,36.53
23,33.7,213.53,12.11,7.73,12.57,0.67,35.95
24,22.35,213.53,12.76,7.73,10.42,0.94,16.64
25,12.74,213.53,10.48,7.73,6.53,0.84,17.12
26,10.72,213.53,10.44,7.73,7.82,0.89,23.56
27,11.17,213.53,10.63,7.73,9.14,0.92,23.38
28,28.67,213.53,12.83,7.73,50.98,0.79,22.4
29,42.75,213.53,13.5,7.73,25.86,0.68,27.97
30,32.01,213.53,12.02,7.73,10.61,0.76,31.52
31,32.72,213.53,12.76,7.73,10.95,0.55,39.56
32,31.06,213.53,12.94,7.73,10.06,0.7,44.37
33,25.93,213.53,13.12,7.73,12.87,0.75,38.78
34,22.01,213.53,13.36,7.73,13.79,0.81,42.2
35,37.33,213.53,15.37,7.73,14.23,0.91,51.54
36,36.38,213.53,13.06,7.73,11.08,0.87,52.95
37,44.01,213.53,13.57,7.73,10.87,1.08,37.75
38,43.51,213.53,12.34,7.73,9.09,1.08,30.59
39,26.43,213.53,11.17,7.73,5.91,0.52,15.96
40,18.24,213.53,12.01,7.73,8.54,0.98,16.51
41,39.56,213.53,11.62,7.73,7.69,0.96,19.45
42,45.4,213.53,12.41,7.73,6.36,0.8,43.11
43,197.99,213.53,14.95,7.73,18.58,0.81,58.02
44,392.29,213.53,13.21,7.73,14.45,0.91,42.26
45,55.14,213.53,12.88,7.73,11.08,1.12,22.86
46,33.24,213.53,11.58,7.73,7.79,0.55,19.58
47,71.55,213.53,11.03,7.73,6.12,0.59,18.2
48,20.1,213.53,10.43,7.73,5.34,0.82,13.38
49,1.31,213.53,10.56,7.73,6.76,0.83,11.09
50,9.19,213.53,14.96,7.73,6.14,0.7,12.73
51,20.16,213.53,12.52,7.73,8.68,1.18,14.99
52,20.78,213.53,13.49,7.73,10.03,1.12,29.49
53,23.37,213.53,15.8,7.73,16.67,0.7,41.1
54,30.77,213.53,13.65,7.73,9.73,0.67,26.1
55,171.5,213.53,11.79,7.73,5.08,1.1,19.57
56,504.2,213.53,12.24,7.73,6.14,0.86,13.05
57,51.94,213.53,10.51,7.73,6.38,0.7,12.58
58,196.86,213.53,10.85,7.73,7.62,0.75,13.79
59,423.22,213.53,11.14,7.73,5.97,1.14,12.14
